DateTime,IncidentNumber,IncidentORI
2022-02-01 06:06:00,2022-00005650,1212 GREENBRIAR CT
2022-02-01 06:15:00,2022-00005651,NORTH BASE
2022-02-01 06:18:00,2022-00005652,NORTH BASE AVE
2022-02-01 06:22:00,2022-00001596,425 12TH AVE NE
2022-02-01 06:22:00,2022-00002074,425 12TH AVE NE
2022-02-01 06:49:00,2022-00005654,1231 ALAMEDA ST
2022-02-01 06:52:00,2022-00005653,35.2029966666667;-97.4702683333333
2022-02-01 06:54:00,2022-00001597,2100 36TH AVE NW
2022-02-01 06:56:00,2022-00005655,200 36TH AVE NW
2022-02-01 07:02:00,2022-00005656,630 S LAHOMA AVE
2022-02-01 07:11:00,2022-00005658,2900 MARIGOLD TRL
2022-02-01 07:12:00,2022-00005657,N FLOOD AVE / TECUMSEH DR
2022-02-01 07:34:00,2022-00005659,2401 E IMHOFF RD
2022-02-01 07:40:00,2022-00005660,201 WOODCREST DR
2022-02-01 07:42:00,2022-00005661,125 VICKSBURG AVE
2022-02-01 07:46:00,2022-00005662,1230 E LINDSEY ST
2022-02-01 07:47:00,2022-00002076,EMSSTAT
2022-02-01 07:50:00,2022-00005664,2200 CLASSEN BLVD
2022-02-01 07:55:00,2022-00001598,423 24TH AVE NW
2022-02-01 07:55:00,2022-00002075,423 24TH AVE NW
2022-02-01 07:59:00,2022-00005663,4001 36TH AVE NW
2022-02-01 08:01:00,2022-00005665,798 ASP AVE
2022-02-01 08:03:00,2022-00005666,35.2040066666667;-97.4767216666667
2022-02-01 08:03:00,2022-00001599,2100 36TH AVE NW
2022-02-01 08:06:00,2022-00005667,1101 12TH AVE NE
2022-02-01 08:08:00,2022-00005668,TRIAD VILLAGE DR / ALAMEDA ST
2022-02-01 08:13:00,2022-00005669,MCGEE DR / W LINDSEY ST
2022-02-01 08:24:00,2022-00005670,709 HUMMING FISH DR
2022-02-01 08:29:00,2022-00005671,1400 24TH AVE NW
2022-02-01 08:30:00,2022-00001600,2113 E ROCK CREEK RD
2022-02-01 08:30:00,2022-00005672,1410 BROAD ACRES DR
2022-02-01 08:33:00,2022-00005673,24TH AVE NW / W MAIN ST
2022-02-01 08:43:00,2022-00005674,1206 DAKOTA ST
2022-02-01 08:46:00,2022-00001601,2113 GODDARD AVE
2022-02-01 08:51:00,2022-00005676,1218 CHERRY STONE ST
2022-02-01 08:52:00,2022-00005675,1178 24TH AVE SW
2022-02-01 08:53:00,2022-00001602,1308 SAWGRASS DR
2022-02-01 08:53:00,2022-00002077,1308 SAWGRASS DR
2022-02-01 08:53:00,2022-00005677,215 N PONCA AVE
2022-02-01 08:57:00,2022-00005678,3901 ABINGDON DR
2022-02-01 08:59:00,2022-00005679,N CARTER AVE / E ROBINSON ST
2022-02-01 08:59:00,2022-00005680,17010 E TECUMSEH RD
2022-02-01 09:02:00,2022-00005682,517 N UNIVERSITY BLVD
2022-02-01 09:03:00,2022-00005684,N WEBSTER AVE / PARK AVE
2022-02-01 09:05:00,2022-00005683,2505 DEER CHASE DR
2022-02-01 09:05:00,2022-00005681,800 LEXINGTON ST
2022-02-01 09:10:00,2022-00005685,24TH AVE NE / E ROBINSON ST
2022-02-01 09:10:00,2022-00005687,48TH AVE SE / E STATE HWY 9 HWY
2022-02-01 09:10:00,2022-00002080,3300 HEALTHPLEX PKWY
2022-02-01 09:17:00,2022-00005688,ALAMEDA ST / 24TH AVE SE
2022-02-01 09:18:00,2022-00005686,1820 CHERRY STONE ST
2022-02-01 09:19:00,2022-00002078,600 24TH AVE SW
2022-02-01 09:21:00,2022-00005689,W TECUMSEH RD / 36TH AVE NW
2022-02-01 09:26:00,2022-00005690,E ROCK CREEK RD / N PORTER AVE
2022-02-01 09:27:00,2022-00001603,2136 W BROOKS ST
2022-02-01 09:27:00,2022-00002079,2136 W BROOKS ST
2022-02-01 09:28:00,2022-00005691,3412 36TH AVE NW
2022-02-01 09:29:00,2022-00005694,2500 E LINDSEY ST
2022-02-01 09:32:00,2022-00005692,2804 36TH AVE SE
2022-02-01 09:41:00,2022-00005693,261 12TH AVE SE
2022-02-01 09:49:00,2022-00005697,801 KANSAS ST
2022-02-01 09:51:00,2022-00005695,247 N PICKARD AVE
2022-02-01 09:54:00,2022-00005696,7200 E STATE HWY 9 HWY
2022-02-01 10:04:00,2022-00005698,517 N UNIVERSITY BLVD
2022-02-01 10:06:00,2022-00005699,1343 EASTGATE DR
2022-02-01 10:09:00,2022-00005700,W TECUMSEH RD / N INTERSTATE DR
2022-02-01 10:10:00,2022-00005701,601 12TH AVE NE
2022-02-01 10:16:00,2022-00005702,4600 E FRANKLIN RD
2022-02-01 10:22:00,2022-00005703,570 BUCHANAN AVE
2022-02-01 10:24:00,2022-00002081,3300 HEALTHPLEX PKWY
2022-02-01 10:25:00,2022-00005704,1425 REBECCA LN
2022-02-01 10:45:00,2022-00005707,1311 FAY AVE
2022-02-01 10:47:00,2022-00005705,4260 84TH AVE NE
2022-02-01 10:49:00,2022-00005706,215 N PONCE AVE
2022-02-01 10:49:00,2022-00005708,2500 MEADOWOOD BLVD
2022-02-01 10:54:00,2022-00005709,E STATE HWY 9 HWY / 12TH AVE SE
2022-02-01 11:02:00,2022-00005711,1123 E MAIN ST
2022-02-01 11:03:00,2022-00005710,12605 NELSON LN
2022-02-01 11:04:00,2022-00002082,EMSSTAT
2022-02-01 11:04:00,2022-00001604,1900 RENAISSANCE DR
2022-02-01 11:07:00,2022-00005712,W STATE HWY 9 HWY / JENKINS AVE
2022-02-01 11:08:00,2022-00005739,3210 ISIM RD
2022-02-01 11:08:00,2022-00001605,600 24TH AVE SW
2022-02-01 11:08:00,2022-00002083,600 24TH AVE SW
2022-02-01 11:13:00,2022-00005713,800 N BERRY RD
2022-02-01 11:13:00,2022-00001606,1776 E ROBINSON ST
2022-02-01 11:13:00,2022-00002084,1776 E ROBINSON ST
2022-02-01 11:14:00,2022-00001607,303 WOODCREST DR
2022-02-01 11:14:00,2022-00002085,303 WOODCREST DR
2022-02-01 11:16:00,2022-00005714,JENKINS AVE / W STATE HWY 9 HWY
2022-02-01 11:18:00,2022-00005716,1012 HEARTHSTONE
2022-02-01 11:21:00,2022-00001608,301 TRIAD VILLAGE DR
2022-02-01 11:21:00,2022-00002086,301 TRIAD VILLAGE DR
2022-02-01 11:21:00,2022-00005715,72ND AVE SE / E STATE HWY 9 HWY
2022-02-01 11:24:00,2022-00005717,N PORTER AVE / ALAMOSA RD
2022-02-01 11:24:00,2022-00001609,NORTHFIELDS ST / KENSAL RISE PL
2022-02-01 11:24:00,2022-00002087,NORTHFIELDS ST / KENSAL RISE PL
2022-02-01 11:25:00,2022-00005718,1101 12TH AVE NE
2022-02-01 11:28:00,2022-00005720,1921 EAST VIEW DR
2022-02-01 11:35:00,2022-00005723,1724 W LINDSEY ST
2022-02-01 11:36:00,2022-00005719,1411 ELM AVE
2022-02-01 11:37:00,2022-00001610,2900 CHAUTAUQUA AVE
2022-02-01 11:37:00,2022-00002088,2900 CHAUTAUQUA AVE
2022-02-01 11:37:00,2022-00005721,2900 CHAUTAUQUA AVE
2022-02-01 11:41:00,2022-00001611,1308 FAIRSTED CT
2022-02-01 11:47:00,2022-00001612,3717 W MAIN ST
2022-02-01 11:47:00,2022-00002089,3717 W MAIN ST
2022-02-01 11:47:00,2022-00005724,3717 W MAIN ST
2022-02-01 11:48:00,2022-00005722,W LINDSEY ST / I35 NB OFF RAMP 
2022-02-01 11:49:00,2022-00005729,1915 CLASSEN BLVD
2022-02-01 11:50:00,2022-00005725,S CARTER AVE / ALAMEDA ST
2022-02-01 11:53:00,2022-00001613,3500 HEALTHPLEX PKWY
2022-02-01 11:53:00,2022-00002090,3500 HEALTHPLEX PKWY
2022-02-01 11:59:00,2022-00005728,1305 60TH AVE NE
2022-02-01 12:00:00,2022-00005726,225 INTERSTATE DR
2022-02-01 12:00:00,2022-00005727,2900 W ROBINSON ST
2022-02-01 12:05:00,2022-00005731,1322 REBECCA LN
2022-02-01 12:05:00,2022-00005730,3247 E STATE HWY 9 HWY
2022-02-01 12:07:00,2022-00005737,575 S UNIVERSITY BLVD
2022-02-01 12:08:00,2022-00005732,200 W STATE HWY 9 HWY
2022-02-01 12:11:00,2022-00005733,301 NANTUCKET BLVD
2022-02-01 12:13:00,2022-00005734,1226 S CLASSEN BLVD
2022-02-01 12:19:00,2022-00001615,325 E COMANCHE ST
2022-02-01 12:19:00,2022-00002092,325 E COMANCHE ST
2022-02-01 12:21:00,2022-00005735,125 VICKSBURG AVE
2022-02-01 12:23:00,2022-00005736,100 S JAMES GARNER AVE
2022-02-01 12:30:00,2022-00005742,821 W EUFAULA ST
2022-02-01 12:31:00,2022-00001616,9704 DEEP FORK DR
2022-02-01 12:33:00,2022-00005738,3010 CLASSEN BLVD
2022-02-01 12:33:00,2022-00005740,3010 CLASSEN BLVD
2022-02-01 12:33:00,2022-00001623,2400 W MAIN ST
2022-02-01 12:33:00,2022-00002097,2400 W MAIN ST
2022-02-01 12:33:00,2022-00005741,2400 W MAIN ST
2022-02-01 12:34:00,2022-00001617,2100 36TH AVE NW
2022-02-01 12:34:00,2022-00005743,1109 N PORTER AVE
2022-02-01 12:36:00,2022-00002094,3300 HEALTHPLEX PKWY
2022-02-01 12:36:00,2022-00001618,4554 W MAIN ST
2022-02-01 12:36:00,2022-00002093,4554 W MAIN ST
2022-02-01 12:41:00,2022-00001619,151 12TH AVE SE
2022-02-01 12:41:00,2022-00002095,151 12TH AVE SE
2022-02-01 12:42:00,2022-00001620,173 FELGAR ST
2022-02-01 12:44:00,2022-00005744,911 W MAIN ST
2022-02-01 12:47:00,2022-00005745,W STATE HWY 9 HWY / W IMHOFF RD
2022-02-01 12:53:00,2022-00002104,EMSSTAT
2022-02-01 12:55:00,2022-00001621,130 CRYSTAL CT
2022-02-01 12:55:00,2022-00002096,130 CRYSTAL CT
2022-02-01 12:55:00,2022-00005746,1230 CLASSEN BLVD
2022-02-01 12:59:00,2022-00005747,2417 W MAIN ST
2022-02-01 13:04:00,2022-00000027,S HARRAH RD / 149TH
2022-02-01 13:04:00,2022-00001622,S HARRAH RD / 149TH
2022-02-01 13:09:00,2022-00005752,201 REED AVE
2022-02-01 13:11:00,2022-00005748,360 24TH AVE NW
2022-02-01 13:17:00,2022-00002098,901 N PORTER AVE
2022-02-01 13:25:00,2022-00005751,1647 WILSHIRE AVE
2022-02-01 13:26:00,2022-00001624,1305 NORTHCLIFF AVE
2022-02-01 13:26:00,2022-00002099,1305 NORTHCLIFF AVE
2022-02-01 13:27:00,2022-00001625,705 TERRY DR
2022-02-01 13:27:00,2022-00005749,1505 E BOYD ST
2022-02-01 13:28:00,2022-00005750,577 BUCHANAN AVE
2022-02-01 13:30:00,2022-00002100,EMSSTAT
2022-02-01 13:30:00,2022-00001626,15951 LITTLE AXE DR
2022-02-01 13:33:00,2022-00002112,901 N PORTER AVE
2022-02-01 13:48:00,2022-00005754,N FLOOD AVE / W TECUMSEH RD
2022-02-01 13:49:00,2022-00005753,1230 CLASSEN BLVD
2022-02-01 13:53:00,2022-00002109,901 N PORTER AVE
2022-02-01 13:53:00,2022-00005755,3301 W MAIN ST
2022-02-01 13:57:00,2022-00001627,1116 CLASSEN BLVD
2022-02-01 13:57:00,2022-00002101,1116 CLASSEN BLVD
2022-02-01 13:57:00,2022-00005756,1116 CLASSEN BLVD
2022-02-01 13:59:00,2022-00005757,1415 FAIRLAWN DR
2022-02-01 14:01:00,2022-00005758,913 W TIMBERDELL RD
2022-02-01 14:08:00,2022-00005759,1616 ALAMEDA ST
2022-02-01 14:13:00,2022-00005761,2211 W MAIN ST
2022-02-01 14:15:00,2022-00005760,600 GYRFALCON DR
2022-02-01 14:21:00,2022-00005775,24TH AVE SW / OSBORNE DR
2022-02-01 14:22:00,2022-00002105,901 N PORTER AVE
2022-02-01 14:23:00,2022-00002102,700 S TELEPHONE RD
2022-02-01 14:26:00,2022-00000028,14009
2022-02-01 14:31:00,2022-00005762,906 QUANAH PARKER TRL
2022-02-01 14:37:00,2022-00005763,2600 W MAIN ST
2022-02-01 14:43:00,2022-00002110,901 N PORTER AVE
2022-02-01 14:50:00,2022-00001628,201 REED AVE
2022-02-01 14:50:00,2022-00002103,201 REED AVE
2022-02-01 14:50:00,2022-00005765,201 REED AVE
2022-02-01 14:50:00,2022-00005764,901 N PORTER AVE
2022-02-01 14:51:00,2022-00005766,3001 PHEASANT RUN RD
2022-02-01 14:54:00,2022-00005767,333 N CARTER AVE
2022-02-01 14:57:00,2022-00005768,103 W ACRES ST
2022-02-01 14:57:00,2022-00005769,540 ED NOBLE PKWY
2022-02-01 14:59:00,2022-00005770,1918 WILMINGTON CT
2022-02-01 15:10:00,2022-00005772,1155 BILOXI DR
2022-02-01 15:12:00,2022-00005771,2484 CLASSEN BLVD
2022-02-01 15:13:00,2022-00005774,809 WALL ST
2022-02-01 15:17:00,2022-00005773,110 S CRAWFORD AVE
2022-02-01 15:18:00,2022-00005776,213 S MERCEDES DR
2022-02-01 15:20:00,2022-00005777,129 W GRAY ST
2022-02-01 15:21:00,2022-00005778,423 S WEBSTER AVE
2022-02-01 15:31:00,2022-00005785,E ROBINSON ST / N PETERS AVE
2022-02-01 15:34:00,2022-00005779,24TH AVE NW / W TECUMSEH RD
2022-02-01 15:38:00,2022-00005780,519 S UNIVERSITY BLVD
2022-02-01 15:42:00,2022-00005787,2400 E ROCK CREEK RD
2022-02-01 15:42:00,2022-00005782,201 WOODCREST DR
2022-02-01 15:43:00,2022-00005781,12TH AVE NE / MORREN DR
2022-02-01 15:44:00,2022-00001629,2216 24TH AVE NW
2022-02-01 15:44:00,2022-00002106,2216 24TH AVE NW
2022-02-01 15:47:00,2022-00005784,200 VICKSBURG AVE
2022-02-01 15:47:00,2022-00005783,201 W GRAY ST
2022-02-01 15:48:00,2022-00005791,13206 AUDREY CIR
2022-02-01 15:49:00,2022-00005786,1314 168TH AVE NE
2022-02-01 15:51:00,2022-00005788,2715 FOREST OAKS CIR
2022-02-01 15:57:00,2022-00001630,2900 OAK TREE AVE
2022-02-01 15:57:00,2022-00002107,2900 OAK TREE AVE
2022-02-01 16:02:00,2022-00001631,4613 NORTHFIELDS LN
2022-02-01 16:07:00,2022-00005789,911 W MAIN ST
2022-02-01 16:07:00,2022-00005790,124 W HAYES ST
2022-02-01 16:09:00,2022-00005792,2167 HOUSTON AVE
2022-02-01 16:17:00,2022-00002108,3300 HEALTHPLEX PKWY
2022-02-01 16:19:00,2022-00005793,1548 W FRANKLIN RD
2022-02-01 16:24:00,2022-00005796,1708 WILDERNESS DR
2022-02-01 16:26:00,2022-00005795,24TH AVE NE / E TECUMSEH RD
2022-02-01 16:27:00,2022-00005794,1809 STUBBEMAN AVE
2022-02-01 16:30:00,2022-00005797,402 E MAIN ST
2022-02-01 16:32:00,2022-00005798,203 HOFFMAN DR
2022-02-01 16:37:00,2022-00005807,E ROCK CREEK RD / 24TH AVE NE
2022-02-01 16:37:00,2022-00005801,4409 132ND AVE SE
2022-02-01 16:41:00,2022-00005799,2376 GODDARD AVE
2022-02-01 16:42:00,2022-00005800,1400 24TH AVE NW
2022-02-01 16:43:00,2022-00001632,4411 ASHTON CT
2022-02-01 16:47:00,2022-00005802,911 W MAIN ST
2022-02-01 16:47:00,2022-00005803,400 S PORTER AVE
2022-02-01 16:47:00,2022-00005804,12TH AVE NW / W FRANKLIN RD
2022-02-01 16:48:00,2022-00005805,3901 EAGLE CLIFF DR
2022-02-01 16:53:00,2022-00005806,201 W GRAY ST
2022-02-01 16:59:00,2022-00005808,333 E BROOKS ST
2022-02-01 17:00:00,2022-00005809,151 12TH AVE SE
2022-02-01 17:13:00,2022-00005811,540 ED NOBLE PKWY
2022-02-01 17:18:00,2022-00005810,302 S PORTER AVE
2022-02-01 17:23:00,2022-00005832,1123 BRANDYWINE LN
2022-02-01 17:26:00,2022-00005812,4105 KENT ST
2022-02-01 17:32:00,2022-00005813,1020 24TH AVE NW
2022-02-01 17:35:00,2022-00005814,"2313 MEMPHIS, NORMAN"
2022-02-01 17:39:00,2022-00005815,RENAISSANCE DR / CLASSEN BLVD
2022-02-01 17:43:00,2022-00001633,14950 20 B ST
2022-02-01 17:43:00,2022-00002111,14950 20 B ST
2022-02-01 17:47:00,2022-00005819,312 FOREST DR
2022-02-01 17:47:00,2022-00005817,728 E EUFAULA ST
2022-02-01 17:53:00,2022-00005821,820 W ROBINSON ST
2022-02-01 17:53:00,2022-00005818,12605 NELSON LN
2022-02-01 18:05:00,2022-00005823,3205 W ROBINSON ST
2022-02-01 18:07:00,2022-00001634,W LINDSEY DR / 24TH AVE SW
2022-02-01 18:07:00,2022-00005831,W LINDSEY DR / 24TH AVE SW
2022-02-01 18:09:00,2022-00005820,3651 CLASSEN BLVD
2022-02-01 18:22:00,2022-00005829,N CRAWFORD AVE / E MAIN ST
2022-02-01 18:23:00,2022-00005822,N SHERRY AVE / DENISON DR
2022-02-01 18:24:00,2022-00005824,4408 12TH AVE NE
2022-02-01 18:28:00,2022-00005825,2465 BISHOPS DR
2022-02-01 18:28:00,2022-00005826,325 E COMANCHE ST
2022-02-01 18:30:00,2022-00002113,901 N PORTER AVE
2022-02-01 18:31:00,2022-00002114,901 N PORTER AVE
2022-02-01 18:31:00,2022-00002115,901 N PORTER AVE
2022-02-01 18:50:00,2022-00005827,206 E HAYES ST
2022-02-01 18:50:00,2022-00005836,2201 W BROOKS ST
2022-02-01 18:56:00,2022-00005828,201 REED AVE
2022-02-01 19:08:00,2022-00005830,2800 SUMMIT HILL CT
2022-02-01 19:14:00,2022-00000029,19450 CORNELL DR
2022-02-01 19:20:00,2022-00001635,3809 INDIAN POINT CIR
2022-02-01 19:33:00,2022-00005835,2900 OAK TREE AVE
2022-02-01 19:33:00,2022-00005833,1200 ALAMEDA ST
2022-02-01 19:36:00,2022-00005834,1800 E LINDSEY ST
2022-02-01 19:49:00,2022-00001636,1901 E LINDSEY ST
2022-02-01 19:49:00,2022-00002116,1901 E LINDSEY ST
2022-02-01 19:56:00,2022-00005837,2551 S CLASSEN BLVD
2022-02-01 19:56:00,2022-00005838,2551 S CLASSEN BLVD
2022-02-01 20:02:00,2022-00005839,1900 RENAISSANCE DR
2022-02-01 20:17:00,2022-00005840,149 12TH AVE SE
2022-02-01 20:17:00,2022-00005845,N PORTER AVE / E ROBINSON ST
2022-02-01 20:21:00,2022-00005841,3750 W MAIN ST
2022-02-01 20:24:00,2022-00005842,HIGH MEADOWS DR / 12TH AVE NE
2022-02-01 20:29:00,2022-00001637,ALAMEDA ST / S PORTER AVE
2022-02-01 20:29:00,2022-00002117,ALAMEDA ST / S PORTER AVE
2022-02-01 20:29:00,2022-00005843,ALAMEDA ST / S PORTER AVE
2022-02-01 20:33:00,2022-00001638,2200 LAFAYETTE DR
2022-02-01 20:35:00,2022-00005844,2803 24TH AVE NW
2022-02-01 20:45:00,2022-00005846,3402 168TH AVE NE
2022-02-01 20:50:00,2022-00005847,601 12TH AVE NE
2022-02-01 20:51:00,2022-00001639,12TH AVE NE / LAKECREST DR
2022-02-01 20:51:00,2022-00002118,12TH AVE NE / LAKECREST DR
2022-02-01 20:53:00,2022-00005848,1201 E LINDSEY ST
2022-02-01 21:01:00,2022-00005849,W STATE HWY 9 HWY / JENKINS AVE
2022-02-01 21:12:00,2022-00002120,700 S TELEPHONE RD
2022-02-01 21:19:00,2022-00001640,2820 EDGEWATER CT
2022-02-01 21:27:00,2022-00005850,561 BUCHANAN AVE
2022-02-01 21:38:00,2022-00001641,1906 144TH AVE SE
2022-02-01 21:38:00,2022-00002119,1906 144TH AVE SE
2022-02-01 21:39:00,2022-00005851,1510 E LINDSEY ST
2022-02-01 21:40:00,2022-00005853,720 ELM AVE
2022-02-01 21:45:00,2022-00005852,307 E MAIN ST
2022-02-01 21:47:00,2022-00001642,151 W BROOKS AVE
2022-02-01 21:47:00,2022-00002121,151 W BROOKS AVE
2022-02-01 21:48:00,2022-00002127,901 N PORTER AVE
2022-02-01 21:57:00,2022-00005858,1507 W LINDSEY ST
2022-02-01 21:58:00,2022-00005855,325 E COMANCHE ST
2022-02-01 21:58:00,2022-00005857,2316 W LINDSEY ST
2022-02-01 21:59:00,2022-00005854,1507 W LINDSEY ST
2022-02-01 22:02:00,2022-00005856,1818 ALAMEDA ST
2022-02-01 22:06:00,2022-00005859,4409 132ND AVE SE
2022-02-01 22:20:00,2022-00005860,2657 CLASSEN BLVD
2022-02-01 22:22:00,2022-00001643,1309 CHERRY LAUREL DR
2022-02-01 22:22:00,2022-00002122,1309 CHERRY LAUREL DR
2022-02-01 22:27:00,2022-00001644,1014 DRAKE DR
2022-02-01 22:27:00,2022-00002123,1014 DRAKE DR
2022-02-01 22:30:00,2022-00005864,1300 CREEKSIDE DR
2022-02-01 22:33:00,2022-00001645,1604 CAMBRIDGE DR
2022-02-01 22:33:00,2022-00002124,1604 CAMBRIDGE DR
2022-02-01 22:33:00,2022-00005862,1604 CAMBRIDGE DR
2022-02-01 22:34:00,2022-00005863,1517 FAWN RUN XING
2022-02-01 22:34:00,2022-00005861,2289 W MAIN ST
2022-02-01 22:35:00,2022-00002125,EMSSTAT
2022-02-01 22:35:00,2022-00001646,1014 DRAKE DR
2022-02-01 22:38:00,2022-00002126,3300 HEALTHPLEX PKWY
2022-02-01 22:39:00,2022-00005865,2305 W BOYD ST
2022-02-01 22:39:00,2022-00005866,2202 TECUMSEH DR
2022-02-01 22:50:00,2022-00005867,24TH AVE SW / W MAIN ST
2022-02-01 22:59:00,2022-00005868,267 24TH AVE NW
2022-02-01 23:00:00,2022-00005876,2002 RESEARCH PARK BLVD
2022-02-01 23:01:00,2022-00002130,3300 HEALTHPLEX PKWY
2022-02-01 23:01:00,2022-00005871,2300 W MAIN ST
2022-02-01 23:02:00,2022-00005870,3206 TIMBER SHADOWS DR
2022-02-01 23:02:00,2022-00005869,147 24TH AVE NW
2022-02-01 23:09:00,2022-00002132,901 N PORTER AVE
2022-02-01 23:10:00,2022-00005872,121 24TH AVE NW
2022-02-01 23:11:00,2022-00005878,1333 NEBRASKA ST
2022-02-01 23:13:00,2022-00005874,12TH AVE SE / E LINDSEY ST
2022-02-01 23:13:00,2022-00005873,SOONER FASHION MALL
2022-02-01 23:17:00,2022-00005875,HOLLYWOOD THEATRE
2022-02-01 23:22:00,2022-00005877,138 24TH AVE NW
2022-02-01 23:31:00,2022-00001647,3428 TECUMSEH RIDGE RD
2022-02-01 23:31:00,2022-00002128,3428 TECUMSEH RIDGE RD
2022-02-01 23:31:00,2022-00005879,3428 TECUMSEH RIDGE RD
2022-02-01 23:33:00,2022-00005880,3001 OAK TREE AVE
2022-02-01 23:39:00,2022-00001648,1899 SADDLEBACK BLVD
2022-02-01 23:39:00,2022-00002129,1899 SADDLEBACK BLVD
2022-02-01 23:47:00,2022-00005881,112 VIDA WAY
2022-02-01 23:50:00,2022-00001649,515 ALAMEDA ST
2022-02-01 23:50:00,2022-00002131,515 ALAMEDA ST
2022-02-01 23:56:00,2022-00005883,4409 132ND AVE SE
2022-02-02 00:03:00,2022-00005882,ALAMEDA ST / VICKSBURG AVE
2022-02-02 00:15:00,2022-00005884,1525 E LINDSEY ST
2022-02-02 00:16:00,2022-00005885,101 ANDOVER DR
2022-02-02 00:23:00,2022-00005886,3505 WELLSITE DR
2022-02-02 00:42:00,2022-00002133,700 S TELEPHONE RD
2022-02-02 00:56:00,2022-00005887,DA VINCI ST / N FLOOD AVE
2022-02-02 01:06:00,2022-00001650,219 COOK AVE
2022-02-02 01:06:00,2022-00002134,219 COOK AVE
2022-02-02 01:13:00,2022-00005888,3301 12TH AVE SE
2022-02-02 01:17:00,2022-00005889,2614 108TH AVE NE
2022-02-02 01:25:00,2022-00002136,700 S TELEPHONE RD
2022-02-02 01:27:00,2022-00001651,3417 MADRA ST
2022-02-02 01:27:00,2022-00002135,3417 MADRA ST
2022-02-02 01:27:00,2022-00005890,2646 CLASSEN BLVD
2022-02-02 01:30:00,2022-00005891,OAK TREE AVE / 12TH AVE SE
2022-02-02 01:33:00,2022-00001652,3110 HEALTHPLEX PKWY
2022-02-02 01:33:00,2022-00002137,3110 HEALTHPLEX PKWY
2022-02-02 01:49:00,2022-00005892,E LINDSEY ST / CREEKSIDE DR
2022-02-02 01:53:00,2022-00001653,114 4TH ST
2022-02-02 01:53:00,2022-00002138,114 4TH ST
2022-02-02 02:16:00,2022-00005893,904 E SYMMES ST
2022-02-02 02:22:00,2022-00005894,207 MCCULLOUGH ST
2022-02-02 02:30:00,2022-00001654,325 E COMANCHE ST
2022-02-02 02:30:00,2022-00002139,325 E COMANCHE ST
